Manufacturer,Model,Type,Min.Price,Price,Max.Price,MPG.city,MPG.highway,AirBags,RPM,EngineSize
Audi,Model_822,SUV,35.0,26.4,19.1,15,29,Driver only,5546,4.3
Hyundai,Model_823,Large,34.1,28.4,59.2,20,27,Driver & Passenger,6388,3.2
Mercedes-Benz,Model_824,Compact,34.6,21.7,32.7,22,28,None,4199,4.7
Honda,Model_825,Small,25.1,41.4,16.1,17,47,Driver & Passenger,5657,4.8
Honda,Model_826,Small,25.8,44.1,24.2,31,40,Driver only,4301,5.0
BMW,Model_827,Van,25.6,47.0,28.4,37,38,Driver only,4139,1.5
Subaru,Model_828,Sport,9.7,25.4,52.8,34,20,Driver & Passenger,4746,4.6
Hyundai,Model_829,Large,17.3,44.4,13.2,19,47,None,4012,2.2
Chevrolet,Model_830,SUV,14.1,38.7,37.3,32,21,Driver & Passenger,4371,3.5
Mercedes-Benz,Model_831,Van,40.9,53.1,33.6,21,39,Driver only,5449,4.5
Subaru,Model_832,Small,18.5,29.1,63.3,31,23,Driver & Passenger,5012,1.4
BMW,Model_833,Large,13.6,54.7,21.5,29,35,Driver & Passenger,6149,1.6
Audi,Model_834,Large,12.9,43.3,45.3,34,40,Driver & Passenger,5416,3.9
Volkswagen,Model_835,Sport,34.0,44.9,22.7,30,44,Driver only,5667,2.4
Kia,Model_836,Large,8.7,11.2,41.1,27,31,Driver & Passenger,4873,3.6
Kia,Model_837,Compact,25.7,32.4,41.4,21,21,Driver & Passenger,5523,1.5
Chevrolet,Model_838,Large,12.8,33.8,16.0,29,34,Driver & Passenger,5078,4.9
Audi,Model_839,Sport,39.5,11.8,36.2,37,37,Driver & Passenger,6143,3.0
Lexus,Model_840,Van,43.5,24.0,36.4,37,35,Driver & Passenger,5336,4.5
Chevrolet,Model_841,Sport,43.5,53.0,28.9,19,40,Driver & Passenger,6470,3.7
Mercedes-Benz,Model_842,SUV,24.6,29.2,26.7,26,31,Driver & Passenger,4667,4.8
Mercedes-Benz,Model_843,Sport,32.0,18.4,23.9,24,37,None,4665,3.3
Ford,Model_844,Small,30.4,33.1,12.3,33,33,Driver only,4504,2.2
Subaru,Model_845,Compact,21.3,11.5,12.1,24,45,None,5636,3.5
Lexus,Model_846,Small,24.7,33.2,43.3,21,40,Driver only,4353,5.0
Kia,Model_847,Van,10.8,36.7,27.4,37,31,Driver only,6069,4.3
Honda,Model_848,Midsize,37.5,26.1,20.9,36,24,Driver & Passenger,4172,2.8
Subaru,Model_849,Van,17.3,44.3,48.3,29,42,Driver & Passenger,6496,4.3
Mazda,Model_850,Compact,25.3,16.1,40.0,23,23,None,5375,3.8
Mercedes-Benz,Model_851,Large,26.0,49.5,60.5,20,37,None,5518,4.8
Hyundai,Model_852,Sport,29.0,53.0,56.0,35,43,Driver & Passenger,5169,2.5
Hyundai,Model_853,Midsize,38.4,10.1,50.5,25,36,Driver & Passenger,5290,1.2
Audi,Model_854,Compact,33.8,47.9,18.7,20,35,Driver & Passenger,4994,1.3
Toyota,Model_855,Small,32.7,32.8,47.3,34,29,Driver & Passenger,4387,4.1
Chevrolet,Model_856,Sport,27.7,30.8,48.8,29,36,Driver & Passenger,4033,3.8
Mercedes-Benz,Model_857,Van,12.0,20.7,52.5,27,31,Driver & Passenger,4303,3.9
Subaru,Model_858,Small,23.2,30.1,25.9,20,31,None,4082,3.7
Lexus,Model_859,Compact,43.4,52.8,45.9,34,46,None,5583,2.8
Hyundai,Model_860,Compact,44.8,19.5,44.8,35,47,Driver & Passenger,4483,1.3
Hyundai,Model_861,Van,35.2,18.1,32.4,29,42,None,5429,4.3
Subaru,Model_862,Midsize,16.8,20.9,47.2,20,23,Driver & Passenger,4366,1.7
Toyota,Model_863,Van,12.2,34.8,16.6,30,22,Driver & Passenger,6367,5.0
Hyundai,Model_864,Large,23.6,51.9,46.1,15,20,Driver & Passenger,6096,1.8
Mazda,Model_865,Small,39.8,35.8,44.1,20,31,Driver & Passenger,5718,1.3
Toyota,Model_866,Midsize,34.8,21.0,23.2,30,27,Driver only,5627,2.5
BMW,Model_867,Sport,40.8,29.8,55.4,36,27,Driver & Passenger,6318,2.3
Nissan,Model_868,SUV,31.0,27.6,58.3,15,31,Driver & Passenger,4478,4.9
BMW,Model_869,Large,13.3,12.1,23.2,21,23,None,5662,2.6
Kia,Model_870,Midsize,12.7,33.0,16.0,24,35,Driver & Passenger,6393,1.2
Subaru,Model_871,SUV,10.3,15.7,44.0,35,21,Driver & Passenger,5922,4.9
Mercedes-Benz,Model_872,SUV,29.2,47.9,37.4,22,23,Driver & Passenger,5926,4.1
Mercedes-Benz,Model_873,Small,17.4,34.7,34.7,35,42,Driver only,4211,5.0
Mercedes-Benz,Model_874,Compact,35.3,48.0,52.3,19,23,None,4912,2.3
Hyundai,Model_875,Sport,33.5,53.0,63.4,32,30,None,6127,1.5
Nissan,Model_876,Van,20.1,52.4,37.3,18,46,None,4111,2.6
BMW,Model_877,Small,15.0,14.5,12.3,34,22,None,4277,1.6
Nissan,Model_878,Large,12.2,52.5,43.6,30,29,None,6446,1.6
Volkswagen,Model_879,SUV,35.4,45.8,46.7,24,31,Driver & Passenger,5593,4.6
Subaru,Model_880,Large,24.9,45.0,55.9,30,36,None,5851,5.0
Nissan,Model_881,SUV,20.3,14.1,22.6,22,28,None,6379,5.0
Honda,Model_882,Compact,39.8,18.1,39.8,33,40,Driver & Passenger,4166,2.8
Chevrolet,Model_883,Compact,30.2,53.9,35.7,15,21,Driver & Passenger,4898,2.0
Chevrolet,Model_884,Sport,27.4,19.6,47.2,37,41,None,6491,1.7
Honda,Model_885,Van,35.6,17.6,15.4,23,37,Driver only,5431,2.5
Hyundai,Model_886,Sport,38.3,26.3,58.9,20,31,Driver & Passenger,5462,3.4
Ford,Model_887,Compact,33.5,51.1,39.1,27,25,Driver & Passenger,4513,4.0
Hyundai,Model_888,Compact,24.6,31.4,58.5,27,44,Driver only,4406,3.1
Hyundai,Model_889,Large,22.3,51.4,30.0,32,37,Driver only,4982,4.4
Toyota,Model_890,Compact,36.7,25.0,46.6,28,32,None,4711,4.7
Lexus,Model_891,Midsize,27.4,20.2,62.7,16,34,None,5643,4.5
Hyundai,Model_892,SUV,34.2,32.3,62.0,30,20,Driver & Passenger,5163,2.5
Hyundai,Model_893,Small,41.0,37.7,62.0,31,42,Driver & Passenger,4200,4.8
Toyota,Model_894,Compact,41.9,27.6,14.3,36,27,Driver & Passenger,6284,4.7
Nissan,Model_895,Sport,18.6,25.6,33.4,30,37,Driver & Passenger,5536,2.6
BMW,Model_896,Van,15.4,19.8,15.2,28,39,Driver & Passenger,5890,2.7
BMW,Model_897,SUV,18.0,22.4,28.4,27,43,Driver & Passenger,5589,1.3
Chevrolet,Model_898,SUV,35.9,40.3,21.3,30,31,Driver & Passenger,4957,4.7
Audi,Model_899,Van,22.0,26.6,44.9,15,39,Driver & Passenger,4518,1.4
Hyundai,Model_900,Van,14.8,13.6,53.4,31,31,Driver & Passenger,6459,3.0
Volkswagen,Model_901,SUV,12.1,16.2,39.2,15,44,Driver & Passenger,4751,3.9
Subaru,Model_902,Midsize,20.4,26.8,54.2,24,20,None,5797,4.5
Kia,Model_903,Sport,13.5,51.6,12.7,19,29,Driver only,4701,3.3
Mazda,Model_904,Midsize,14.2,27.1,55.5,21,42,Driver only,4011,3.7
BMW,Model_905,Compact,33.5,12.7,21.5,18,38,Driver & Passenger,4171,3.8
Subaru,Model_906,Small,9.2,28.8,36.4,15,46,None,4310,1.1
Mazda,Model_907,Van,12.8,40.1,35.5,15,47,Driver & Passenger,5118,4.8
Subaru,Model_908,Sport,39.3,36.7,58.3,24,45,Driver only,6292,2.4
Nissan,Model_909,Van,39.3,22.5,63.2,17,46,Driver only,6004,1.7
Mazda,Model_910,Midsize,20.5,41.0,25.5,19,46,Driver & Passenger,4337,2.9
Kia,Model_911,Large,11.7,38.4,15.6,27,38,Driver & Passenger,5797,3.9
Subaru,Model_912,Compact,34.2,17.7,46.5,35,30,Driver & Passenger,4063,4.3
Honda,Model_913,Small,21.6,17.3,38.7,23,42,Driver & Passenger,4720,3.9
Kia,Model_914,Compact,10.2,34.6,42.0,22,41,Driver & Passenger,5570,2.6
Mazda,Model_915,Large,14.3,39.7,14.5,25,22,Driver only,6058,3.7
Kia,Model_916,Small,13.5,53.3,53.1,28,33,None,4790,2.7
Subaru,Model_917,Large,30.0,29.0,24.3,22,37,Driver only,5336,4.9
Ford,Model_918,Compact,41.3,44.4,29.8,35,46,Driver & Passenger,5104,5.0
Subaru,Model_919,Midsize,37.4,15.2,24.1,24,46,Driver & Passenger,6417,2.0
Subaru,Model_920,SUV,28.4,50.0,62.1,17,25,Driver & Passenger,5188,2.9
Nissan,Model_921,Compact,23.9,38.5,20.9,18,45,Driver & Passenger,4079,3.3
Hyundai,Model_922,Compact,31.1,38.3,50.8,37,42,Driver only,5052,3.5
Honda,Model_923,Compact,24.7,16.4,25.0,26,28,None,5691,2.7
Volkswagen,Model_924,Sport,17.5,11.8,34.5,23,44,Driver & Passenger,5641,3.1
BMW,Model_925,Large,33.3,41.6,64.8,25,28,Driver & Passenger,4983,3.2
Hyundai,Model_926,Large,40.4,15.3,17.3,25,46,Driver only,6321,2.6
Toyota,Model_927,Van,22.1,15.7,58.7,30,45,Driver & Passenger,6288,2.3
Hyundai,Model_928,Large,39.2,18.4,62.1,27,36,None,5252,3.5
Toyota,Model_929,Van,24.2,14.4,49.0,28,23,Driver only,4664,2.8
Nissan,Model_930,Sport,23.1,38.1,12.5,21,23,Driver only,6403,4.9
Honda,Model_931,Midsize,9.5,29.0,55.5,26,45,None,5518,2.5
Mercedes-Benz,Model_932,Van,33.9,22.0,58.8,33,43,Driver only,6351,1.8
Subaru,Model_933,Compact,38.0,29.8,64.0,22,38,Driver & Passenger,6390,2.7
Mercedes-Benz,Model_934,Midsize,32.7,48.0,56.5,18,35,Driver only,6225,3.6
Mercedes-Benz,Model_935,SUV,14.0,51.7,35.6,36,36,Driver & Passenger,5993,2.8
Lexus,Model_936,Sport,12.3,31.9,48.5,31,22,None,5354,2.1
Chevrolet,Model_937,Large,29.4,35.5,37.7,16,41,Driver & Passenger,5064,3.0
Mercedes-Benz,Model_938,Van,23.2,21.6,30.7,37,26,Driver only,4260,2.8
BMW,Model_939,Compact,24.2,33.1,45.2,36,44,None,5285,4.8
Ford,Model_940,Small,43.8,43.7,52.8,27,24,Driver & Passenger,4386,1.1
Chevrolet,Model_941,SUV,34.9,32.1,45.7,35,40,Driver only,4300,2.6
Nissan,Model_942,Small,23.5,23.6,55.8,21,22,Driver & Passenger,5253,2.4
Hyundai,Model_943,Midsize,9.2,36.2,21.3,32,31,Driver & Passenger,5724,1.9
Hyundai,Model_944,Large,9.7,52.6,31.8,24,38,Driver & Passenger,5135,3.2
Ford,Model_945,Small,33.5,50.0,28.6,18,28,Driver & Passenger,6410,3.5
Kia,Model_946,Midsize,39.1,44.6,22.3,35,22,Driver only,6223,1.0
Mazda,Model_947,Sport,34.3,22.4,35.5,22,22,Driver & Passenger,4407,3.7
Lexus,Model_948,Midsize,23.3,20.9,62.2,36,35,Driver & Passenger,4409,2.5
Ford,Model_949,SUV,9.6,47.7,40.5,36,44,Driver & Passenger,4176,4.7
Volkswagen,Model_950,Midsize,43.8,18.2,27.2,35,39,Driver & Passenger,5751,4.0
Mercedes-Benz,Model_951,SUV,44.5,37.3,30.8,27,32,Driver & Passenger,4899,3.1
Nissan,Model_952,Midsize,28.6,29.8,44.5,28,25,Driver only,4048,4.8
Audi,Model_953,Compact,11.1,31.1,30.7,35,20,Driver & Passenger,5993,3.7
Mazda,Model_954,Midsize,28.2,30.5,40.5,31,30,Driver & Passenger,4281,4.2
Toyota,Model_955,Van,41.1,50.5,26.5,26,37,Driver only,4468,4.8
BMW,Model_956,Midsize,33.3,13.9,30.3,18,46,Driver & Passenger,5234,4.6
Toyota,Model_957,Compact,34.8,45.2,49.4,23,22,Driver only,5021,1.3
Ford,Model_958,Compact,11.6,47.6,43.0,29,37,Driver & Passenger,4295,1.8
Hyundai,Model_959,Sport,12.4,52.4,17.0,29,30,Driver & Passenger,5042,3.5
Toyota,Model_960,SUV,13.1,30.4,63.6,32,45,Driver & Passenger,4653,1.6
Volkswagen,Model_961,Large,41.5,32.5,14.6,20,34,Driver & Passenger,5170,2.9
Nissan,Model_962,Small,27.7,53.3,16.4,16,22,Driver & Passenger,5112,2.9
Kia,Model_963,Small,37.4,30.6,49.2,23,31,Driver only,4846,2.9
Hyundai,Model_964,Midsize,12.7,32.7,49.5,19,40,Driver only,4239,4.3
Hyundai,Model_965,Sport,42.4,25.0,13.0,26,31,Driver only,5904,3.0
BMW,Model_966,Midsize,38.5,11.4,46.1,19,36,Driver & Passenger,4898,4.5
Volkswagen,Model_967,Small,16.7,29.5,13.8,26,20,None,5772,4.1
Volkswagen,Model_968,SUV,40.4,39.5,62.9,29,30,Driver & Passenger,5119,3.6
Toyota,Model_969,SUV,18.1,41.0,48.9,16,42,Driver & Passenger,4181,3.3
Mercedes-Benz,Model_970,SUV,16.0,10.3,21.9,25,44,None,4192,1.9
Toyota,Model_971,Compact,18.1,46.0,20.4,37,34,Driver only,6417,4.1
Ford,Model_972,Large,41.7,32.2,42.2,33,28,Driver & Passenger,5611,4.2
Hyundai,Model_973,Sport,41.9,33.4,45.6,31,26,Driver & Passenger,4492,3.0
Chevrolet,Model_974,Compact,20.5,53.3,56.1,32,30,Driver & Passenger,6417,1.9
Hyundai,Model_975,Large,34.2,22.8,59.9,24,46,Driver & Passenger,6163,4.0
Toyota,Model_976,Sport,33.2,44.3,32.8,19,37,Driver only,5325,4.2
Nissan,Model_977,Sport,37.9,35.9,56.7,35,46,Driver only,4845,3.3
Audi,Model_978,Small,19.3,41.5,40.7,31,42,Driver & Passenger,4120,3.8
BMW,Model_979,Compact,27.1,28.8,36.9,15,47,Driver only,5683,4.1
Subaru,Model_980,Sport,32.9,22.6,49.0,27,44,Driver & Passenger,4957,2.2
Toyota,Model_981,Van,9.5,34.6,17.5,16,26,Driver only,5998,2.1
Nissan,Model_982,SUV,22.3,26.9,26.1,31,37,Driver & Passenger,4730,3.8
Hyundai,Model_983,Sport,33.9,20.0,55.3,29,34,Driver only,5853,3.0
Nissan,Model_984,Large,17.7,47.8,38.7,22,35,Driver & Passenger,4078,3.0
BMW,Model_985,Small,43.5,31.4,60.1,16,34,Driver & Passenger,4978,4.8
Chevrolet,Model_986,Midsize,9.6,48.1,16.7,22,42,Driver & Passenger,4139,4.2
Nissan,Model_987,SUV,43.5,31.3,28.6,19,23,Driver & Passenger,5559,2.0
Audi,Model_988,Small,16.4,35.1,30.8,31,43,Driver & Passenger,4820,2.6
Nissan,Model_989,Midsize,10.3,54.8,34.4,18,22,Driver & Passenger,4739,4.3
Nissan,Model_990,Compact,19.2,52.8,64.3,26,47,Driver & Passenger,4288,1.3
Nissan,Model_991,Compact,37.2,22.2,28.5,32,33,Driver only,5860,2.3
Kia,Model_992,Sport,36.0,49.1,39.5,20,40,Driver & Passenger,6376,2.4
Kia,Model_993,Van,16.1,27.6,40.4,19,22,Driver & Passenger,4871,2.6
Chevrolet,Model_994,Compact,15.7,13.2,52.9,33,42,Driver only,5997,2.0
Toyota,Model_995,Sport,32.0,35.9,39.4,19,35,Driver & Passenger,6147,3.6
Nissan,Model_996,SUV,25.2,54.0,44.1,24,34,None,5286,2.6
Lexus,Model_997,Small,37.4,53.8,51.9,37,38,Driver & Passenger,4371,3.2
Hyundai,Model_998,Compact,9.4,15.7,17.4,33,29,Driver & Passenger,5852,2.1
Lexus,Model_999,Small,30.8,44.7,63.1,18,40,Driver & Passenger,4543,4.4
Toyota,Model_1000,Small,35.2,46.1,56.9,27,36,Driver & Passenger,4724,1.8
Chevrolet,Model_1001,Van,44.8,26.6,32.6,27,23,Driver & Passenger,4496,4.5
Mercedes-Benz,Model_1002,Compact,33.3,39.6,50.6,31,41,None,6382,1.7
Mercedes-Benz,Model_1003,Small,17.0,32.0,52.4,32,37,Driver only,6077,2.5
Honda,Model_1004,Van,12.4,20.3,57.1,33,41,Driver & Passenger,5283,4.1
Lexus,Model_1005,Van,31.9,44.3,22.0,37,29,Driver & Passenger,5569,3.0
Toyota,Model_1006,Compact,27.6,21.8,49.3,37,42,Driver only,5160,1.9
Toyota,Model_1007,Van,41.3,25.3,13.8,31,35,Driver only,6363,3.7
Mazda,Model_1008,Compact,35.0,18.6,18.1,17,43,Driver & Passenger,4459,1.5
Ford,Model_1009,Compact,27.1,42.4,53.1,27,22,Driver & Passenger,5431,1.9
Subaru,Model_1010,Midsize,23.2,30.6,55.1,27,31,Driver & Passenger,5650,2.0
Hyundai,Model_1011,Small,23.3,30.0,43.4,17,45,Driver & Passenger,6294,3.3
Mazda,Model_1012,Large,16.8,37.2,42.8,16,46,None,5333,3.2
Audi,Model_1013,Compact,9.1,17.1,51.7,29,38,Driver & Passenger,4178,3.1
Kia,Model_1014,Small,29.5,50.4,60.0,17,40,Driver & Passenger,4277,1.4
Kia,Model_1015,SUV,16.3,30.9,34.3,36,22,Driver & Passenger,5316,4.1
Ford,Model_1016,Van,16.1,26.5,18.1,30,28,Driver & Passenger,4306,1.5
BMW,Model_1017,Sport,13.1,15.7,56.5,24,26,Driver & Passenger,5096,4.8
BMW,Model_1018,Compact,15.4,17.6,30.1,34,35,Driver & Passenger,4372,1.3
Chevrolet,Model_1019,Van,9.7,51.4,19.1,16,40,Driver & Passenger,4725,4.5
Volkswagen,Model_1020,Van,33.1,30.5,44.6,29,40,Driver & Passenger,4433,2.2
Ford,Model_1021,Van,23.2,42.5,42.6,22,20,Driver & Passenger,5743,3.8
Subaru,Model_1022,Van,29.0,13.6,37.1,27,44,Driver only,5857,2.3
Toyota,Model_1023,Van,31.7,39.0,57.6,15,34,Driver & Passenger,5067,3.9
BMW,Model_1024,Compact,44.0,51.5,26.4,16,21,None,5393,2.9
Subaru,Model_1025,SUV,11.0,23.5,12.7,23,35,Driver & Passenger,5814,3.1
Nissan,Model_1026,Large,23.8,36.1,29.1,34,26,Driver only,6108,3.9
Lexus,Model_1027,Midsize,17.5,52.3,12.5,34,33,Driver & Passenger,5658,1.5
Lexus,Model_1028,Van,25.9,42.4,40.8,37,42,None,4021,2.1
Volkswagen,Model_1029,Van,42.1,12.8,32.0,33,21,Driver & Passenger,4514,4.4
Hyundai,Model_1030,Midsize,34.9,27.0,55.1,26,43,Driver & Passenger,5721,4.2
Toyota,Model_1031,SUV,32.7,13.9,54.3,26,43,Driver & Passenger,4682,5.0
Hyundai,Model_1032,SUV,24.6,48.8,35.0,24,44,Driver & Passenger,4993,1.1
Hyundai,Model_1033,Compact,33.0,38.0,23.5,33,37,None,6038,1.6
Audi,Model_1034,Small,9.7,53.0,34.4,34,20,None,5372,2.3
Hyundai,Model_1035,Sport,29.9,10.9,46.0,24,35,Driver & Passenger,5588,3.8
Nissan,Model_1036,Sport,28.7,29.0,22.1,33,28,Driver & Passenger,6029,2.3
Nissan,Model_1037,Small,21.2,14.7,53.0,23,22,Driver & Passenger,4672,2.4
Lexus,Model_1038,Compact,15.9,25.8,29.5,19,45,Driver & Passenger,4223,1.9
Ford,Model_1039,Sport,38.0,17.3,61.4,17,32,Driver & Passenger,4536,4.6
Volkswagen,Model_1040,SUV,10.5,24.8,39.1,37,21,Driver & Passenger,6353,3.2
Chevrolet,Model_1041,Midsize,11.0,46.9,56.9,33,45,Driver only,6033,1.6
Audi,Model_1042,Small,24.6,17.2,44.6,36,37,Driver & Passenger,4302,3.3
BMW,Model_1043,SUV,17.7,31.3,41.4,18,21,Driver & Passenger,5379,1.6
Subaru,Model_1044,Large,35.7,51.5,48.2,37,27,Driver & Passenger,4577,2.1
Ford,Model_1045,Compact,31.6,54.9,55.0,28,22,Driver & Passenger,5292,3.8
BMW,Model_1046,Small,36.7,21.3,46.2,20,36,Driver only,6062,4.0
Ford,Model_1047,Sport,20.4,52.1,54.3,27,43,Driver & Passenger,6300,2.7
Ford,Model_1048,Compact,35.5,21.8,22.1,21,21,None,5108,1.7
Ford,Model_1049,Midsize,40.0,28.6,26.7,26,25,Driver & Passenger,6210,1.8
Lexus,Model_1050,Compact,21.1,49.5,24.2,34,27,Driver & Passenger,5260,3.2
Hyundai,Model_1051,Compact,20.9,45.4,54.3,28,45,Driver only,5105,3.4
Volkswagen,Model_1052,Midsize,41.3,48.6,16.6,27,44,Driver & Passenger,4773,4.5
Chevrolet,Model_1053,Van,10.3,46.0,54.2,25,36,Driver only,4589,2.1
Hyundai,Model_1054,Midsize,21.3,20.6,32.6,20,44,Driver & Passenger,6449,3.4
Ford,Model_1055,SUV,12.8,35.1,16.2,21,43,Driver only,4147,1.0
Honda,Model_1056,Compact,9.6,27.3,34.5,24,25,Driver & Passenger,5583,2.9
Hyundai,Model_1057,Midsize,12.6,30.7,27.9,29,31,Driver only,6007,2.6
BMW,Model_1058,Van,24.2,16.9,43.4,23,40,Driver & Passenger,6176,1.5
Toyota,Model_1059,SUV,33.6,24.2,37.0,17,35,Driver & Passenger,6166,4.6
Mazda,Model_1060,Small,19.1,48.6,27.7,19,25,Driver & Passenger,5293,1.4
Hyundai,Model_1061,Midsize,39.5,50.4,57.7,24,21,Driver & Passenger,4415,2.1
Subaru,Model_1062,Midsize,24.5,37.5,33.6,29,46,Driver only,5600,3.9
Lexus,Model_1063,Compact,43.8,32.4,36.9,17,22,Driver & Passenger,4177,1.7
Audi,Model_1064,SUV,43.3,42.1,56.9,35,28,None,5200,1.3
Kia,Model_1065,Small,36.7,37.4,16.7,32,38,Driver & Passenger,5874,4.9
Chevrolet,Model_1066,Large,42.5,54.3,32.7,17,29,Driver & Passenger,4576,2.2
Toyota,Model_1067,Large,34.3,18.6,33.4,21,42,None,5433,1.2
Nissan,Model_1068,Sport,41.2,30.2,38.3,35,46,Driver & Passenger,4741,1.6
Mercedes-Benz,Model_1069,Midsize,17.1,51.3,17.6,28,32,None,5088,1.9
Honda,Model_1070,Midsize,21.1,51.2,17.4,30,39,Driver & Passenger,5776,4.8
Kia,Model_1071,Small,36.0,32.3,34.1,33,47,Driver & Passenger,6443,1.1
Mazda,Model_1072,Van,24.0,16.1,13.8,18,46,None,6230,4.2
Toyota,Model_1073,Large,39.1,46.7,25.5,17,32,Driver only,6311,4.1
Kia,Model_1074,Sport,40.5,36.3,22.7,17,44,None,5724,3.0
Toyota,Model_1075,Small,19.4,44.8,37.9,23,47,Driver & Passenger,6074,4.7
Subaru,Model_1076,Midsize,38.6,30.8,12.6,18,39,Driver & Passenger,5274,1.1
Honda,Model_1077,Large,14.1,19.2,47.8,36,45,Driver & Passenger,4507,3.0
Mazda,Model_1078,SUV,20.7,11.1,57.3,33,34,None,5995,2.0
Nissan,Model_1079,Sport,27.4,35.2,49.5,25,32,Driver only,4702,4.0
Ford,Model_1080,Compact,16.8,17.2,55.4,29,32,Driver & Passenger,6175,1.7
BMW,Model_1081,Large,29.6,18.4,46.1,18,45,None,4827,4.5
Nissan,Model_1082,Sport,29.6,29.6,38.9,22,25,Driver & Passenger,6466,2.6
Ford,Model_1083,Small,16.1,29.9,23.6,16,47,Driver only,5679,1.5
Mercedes-Benz,Model_1084,Compact,37.5,22.3,26.8,32,37,Driver & Passenger,4823,1.1
Lexus,Model_1085,Sport,31.6,15.9,28.8,17,26,Driver & Passenger,5693,3.8
Volkswagen,Model_1086,Sport,20.1,52.5,14.0,17,22,Driver & Passenger,5252,4.7
Volkswagen,Model_1087,Midsize,17.0,15.9,60.4,35,20,None,4892,4.9
Volkswagen,Model_1088,Van,40.6,25.8,59.7,33,31,Driver & Passenger,4788,4.5
Chevrolet,Model_1089,Large,39.0,23.7,17.7,26,42,Driver only,5959,2.6
Hyundai,Model_1090,Midsize,16.9,49.0,41.5,28,24,Driver & Passenger,5077,4.6
Hyundai,Model_1091,SUV,9.8,28.5,36.8,37,30,None,5555,3.6
Audi,Model_1092,Compact,37.9,15.6,48.2,27,31,Driver & Passenger,4201,1.3
Audi,Model_1093,Van,31.0,10.5,44.0,30,42,Driver only,4222,1.7
Hyundai,Model_1094,Sport,12.2,42.5,18.6,31,35,Driver & Passenger,5152,2.5
Volkswagen,Model_1095,Midsize,29.9,42.2,47.0,36,20,Driver & Passenger,6377,2.2
BMW,Model_1096,Van,25.0,28.8,44.3,32,40,Driver & Passenger,5681,2.3
Mazda,Model_1097,SUV,36.8,15.7,40.2,27,37,Driver & Passenger,5763,3.9
Honda,Model_1098,Large,16.1,26.7,33.3,27,20,None,5464,1.2
Mazda,Model_1099,SUV,25.0,36.5,62.6,22,41,Driver only,6037,3.4
Honda,Model_1100,Compact,14.2,41.7,57.0,21,47,Driver & Passenger,6175,2.3
Mazda,Model_1101,Small,43.4,13.5,43.0,22,24,Driver only,6045,4.5
Hyundai,Model_1102,Midsize,36.9,35.0,12.3,31,23,Driver & Passenger,6045,1.2
Chevrolet,Model_1103,Compact,35.4,22.4,34.9,15,20,Driver & Passenger,4469,4.9
Chevrolet,Model_1104,Small,33.7,37.8,49.1,17,34,Driver & Passenger,6208,1.3
Volkswagen,Model_1105,Midsize,24.0,39.2,18.2,18,24,Driver & Passenger,5472,2.7
Mercedes-Benz,Model_1106,Compact,42.2,51.0,33.5,33,26,Driver & Passenger,4514,4.4
Ford,Model_1107,SUV,11.2,28.5,22.2,16,36,None,4881,2.3
Mercedes-Benz,Model_1108,Compact,37.8,34.2,29.9,25,39,Driver & Passenger,6010,4.4
Kia,Model_1109,Van,16.4,22.1,13.4,25,25,Driver & Passenger,5050,4.9
Chevrolet,Model_1110,SUV,20.3,22.9,18.7,33,32,Driver & Passenger,4368,1.5
Chevrolet,Model_1111,Midsize,27.5,12.1,36.1,16,43,Driver only,5916,2.9
Nissan,Model_1112,Compact,37.1,22.9,59.6,19,42,Driver & Passenger,5036,1.9
Nissan,Model_1113,Sport,39.1,12.9,38.0,33,34,Driver & Passenger,6170,4.1
Ford,Model_1114,Midsize,29.8,53.4,36.0,23,26,None,4714,1.4
Subaru,Model_1115,Compact,23.2,38.1,53.7,21,43,None,4714,4.1
Kia,Model_1116,Van,43.0,17.8,26.2,26,26,Driver only,4675,3.7
Mercedes-Benz,Model_1117,Small,17.5,15.3,17.0,33,32,Driver & Passenger,5209,3.5
BMW,Model_1118,Small,37.8,26.7,23.1,32,23,None,6367,2.7
Nissan,Model_1119,Sport,30.8,23.8,53.9,32,46,None,5457,3.0
BMW,Model_1120,Midsize,22.3,22.6,47.9,35,41,Driver & Passenger,5323,1.4
Toyota,Model_1121,Van,8.5,31.1,16.9,23,47,Driver & Passenger,5499,2.1
Nissan,Model_1122,Compact,24.8,51.1,47.4,16,37,None,5210,4.7
Hyundai,Model_1123,Compact,18.6,35.6,61.4,16,27,None,5726,2.8
Subaru,Model_1124,Small,12.3,33.5,14.4,29,38,Driver only,6090,2.6
Kia,Model_1125,Van,11.2,46.3,44.7,30,35,Driver & Passenger,5220,1.2
Lexus,Model_1126,SUV,21.2,10.2,32.1,28,39,None,5226,4.5
Ford,Model_1127,Sport,30.9,18.9,38.6,33,37,Driver & Passenger,5802,4.0
Toyota,Model_1128,Small,39.1,32.3,40.0,29,35,Driver & Passenger,4188,1.4
Lexus,Model_1129,Small,15.2,41.7,52.9,17,35,Driver only,4846,1.6
Kia,Model_1130,Sport,24.0,31.8,41.5,20,44,Driver & Passenger,4472,1.5
Mercedes-Benz,Model_1131,Midsize,22.8,17.4,43.4,20,21,None,4272,3.6
Volkswagen,Model_1132,Compact,27.2,51.8,29.6,36,33,Driver & Passenger,4948,1.6
Hyundai,Model_1133,Midsize,38.0,24.8,18.7,35,41,None,5113,5.0
Kia,Model_1134,Van,28.7,45.5,48.2,34,38,Driver & Passenger,4269,3.3
